# Підозрілі зображення з аномальними розмірами
# формат: шлях_до_зображення	слово [ш=ширина, в=висота, с=співвідношення]

dataset/iam_words/data/c01/c01-009/c01-009-10-01.png	, [ш=1737, в=102, с=17.03]
dataset/iam_words/data/c01/c01-009/c01-009-10-02.png	with [ш=1737, в=102, с=17.03]
dataset/iam_words/data/c01/c01-009/c01-009-10-05.png	sense [ш=1737, в=102, с=17.03]
dataset/iam_words/data/c01/c01-009/c01-009-10-04.png	strong [ш=1737, в=102, с=17.03]
dataset/iam_words/data/c01/c01-009/c01-009-10-03.png	a [ш=1737, в=102, с=17.03]
dataset/iam_words/data/c01/c01-009/c01-009-10-06.png	of [ш=1737, в=102, с=17.03]
dataset/iam_words/data/a03/a03-059/a03-059-11-04.png	to [ш=1934, в=116, с=16.67]
dataset/iam_words/data/a03/a03-059/a03-059-11-03.png	return [ш=1934, в=116, с=16.67]
dataset/iam_words/data/a03/a03-059/a03-059-11-02.png	of [ш=1934, в=116, с=16.67]
dataset/iam_words/data/a03/a03-059/a03-059-11-01.png	confident [ш=1934, в=116, с=16.67]
dataset/iam_words/data/m01/m01-136/m01-136-10-04.png	world's [ш=1765, в=107, с=16.50]
dataset/iam_words/data/n03/n03-106/n03-106-11-05.png	toward [ш=1803, в=110, с=16.39]
dataset/iam_words/data/d06/d06-072/d06-072-10-01.png	to [ш=1341, в=86, с=15.59]
dataset/iam_words/data/d06/d06-072/d06-072-10-02.png	be [ш=1341, в=86, с=15.59]
dataset/iam_words/data/d06/d06-072/d06-072-10-03.png	handled [ш=1341, в=86, с=15.59]
dataset/iam_words/data/m01/m01-049/m01-049-11-04.png	ecstacy [ш=1343, в=91, с=14.76]
dataset/iam_words/data/m01/m01-049/m01-049-11-03.png	of [ш=1343, в=91, с=14.76]
dataset/iam_words/data/g01/g01-083/g01-083-10-01.png	to [ш=1053, в=73, с=14.42]
dataset/iam_words/data/p02/p02-109/p02-109-01-00.png	----------------------------------------------------- [ш=546, в=38, с=14.37]
dataset/iam_words/data/b05/b05-042/b05-042-10-07.png	gives [ш=1285, в=91, с=14.12]
dataset/iam_words/data/m04/m04-081/m04-081-10-02.png	if [ш=1207, в=86, с=14.03]
dataset/iam_words/data/m01/m01-110/m01-110-11-04.png	nucleus [ш=1613, в=118, с=13.67]
dataset/iam_words/data/a01/a01-072u/a01-072u-02-03.png	once-and-for-all [ш=820, в=60, с=13.67]
dataset/iam_words/data/m04/m04-081/m04-081-10-04.png	ask [ш=1207, в=89, с=13.56]
dataset/iam_words/data/m01/m01-110/m01-110-11-01.png	may [ш=1585, в=118, с=13.43]
dataset/iam_words/data/m01/m01-110/m01-110-11-03.png	the [ш=1585, в=118, с=13.43]
dataset/iam_words/data/m04/m04-081/m04-081-10-03.png	you [ш=1207, в=100, с=12.07]
dataset/iam_words/data/a06/a06-039/a06-039-10-03.png	momentous [ш=1425, в=123, с=11.59]
dataset/iam_words/data/a03/a03-020/a03-020-10-00.png	in [ш=1357, в=130, с=10.44]
dataset/iam_words/data/r02/r02-013/r02-013-11-00.png	qualify [ш=1183, в=121, с=9.78]
dataset/iam_words/data/m02/m02-090/m02-090-10-09.png	maintenance [ш=1072, в=114, с=9.40]
dataset/iam_words/data/j07/j07-000/j07-000-04-03.png	plate-and-corrugation [ш=729, в=79, с=9.23]
dataset/iam_words/data/g01/g01-083/g01-083-10-00.png	had [ш=1053, в=118, с=8.92]
dataset/iam_words/data/p03/p03-103/p03-103-01-04.png	Self-deprecation [ш=802, в=92, с=8.72]
dataset/iam_words/data/l04/l04-118/l04-118-00-00.png	Roddy [ш=1079, в=126, с=8.56]
dataset/iam_words/data/k04/k04-010/k04-010-10-00.png	standing [ш=991, в=116, с=8.54]
dataset/iam_words/data/c03/c03-087c/c03-087c-07-01.png	manipulated [ш=875, в=106, с=8.25]
dataset/iam_words/data/a03/a03-020/a03-020-08-02.png	pro-communist [ш=1027, в=125, с=8.22]
dataset/iam_words/data/l01/l01-199/l01-199-01-07.png	self-importance [ш=987, в=122, с=8.09]
dataset/iam_words/data/n04/n04-092/n04-092-03-01.png	Lieutenant-Commander [ш=916, в=123, с=7.45]
dataset/iam_words/data/m04/m04-123/m04-123-00-01.png	disappointment [ш=823, в=111, с=7.41]
dataset/iam_words/data/f04/f04-028/f04-028-10-07.png	began [ш=885, в=120, с=7.38]
dataset/iam_words/data/h06/h06-089/h06-089-11-01.png	automatically [ш=851, в=122, с=6.98]
dataset/iam_words/data/a01/a01-043/a01-043-10-00.png	B.Kaufmann [ш=981, в=148, с=6.63]
dataset/iam_words/data/a03/a03-020/a03-020-04-02.png	pro-communist [ш=931, в=142, с=6.56]
dataset/iam_words/data/f01/f01-135/f01-135-04-03.png	acquaintances [ш=846, в=139, с=6.09]
dataset/iam_words/data/f02/f02-033/f02-033-11-00.png	Hugentobler [ш=941, в=158, с=5.96]
dataset/iam_words/data/d07/d07-093/d07-093-05-02.png	well-known [ш=814, в=137, с=5.94]
dataset/iam_words/data/m04/m04-107/m04-107-03-04.png	fast-disappearing [ш=897, в=152, с=5.90]
dataset/iam_words/data/m02/m02-059/m02-059-05-06.png	middle-income-bracket [ш=691, в=126, с=5.48]
dataset/iam_words/data/c06/c06-103/c06-103-00-01.png	Marriage-Go-Round [ш=1087, в=199, с=5.46]
dataset/iam_words/data/h06/h06-082/h06-082-07-00.png	underground [ш=941, в=174, с=5.41]
dataset/iam_words/data/p02/p02-109/p02-109-02-10.png	eating [ш=1102, в=206, с=5.35]
dataset/iam_words/data/c06/c06-138/c06-138-09-01.png	sensation-hunger [ш=1016, в=195, с=5.21]
dataset/iam_words/data/p06/p06-047/p06-047-05-01.png	fountain-pen [ш=895, в=175, с=5.11]
dataset/iam_words/data/e02/e02-025/e02-025-06-03.png	straight-edge [ш=842, в=171, с=4.92]
dataset/iam_words/data/a03/a03-020/a03-020-07-01.png	Souphannouvong [ш=1156, в=238, с=4.86]
dataset/iam_words/data/p06/p06-042/p06-042-08-04.png	professional [ш=822, в=172, с=4.78]
dataset/iam_words/data/f01/f01-135/f01-135-03-00.png	encountering [ш=872, в=188, с=4.64]
dataset/iam_words/data/g03/g03-043/g03-043-02-01.png	granddaughter [ш=930, в=213, с=4.37]
dataset/iam_words/data/e06/e06-030/e06-030-01-03.png	along [ш=856, в=197, с=4.35]
dataset/iam_words/data/e02/e02-021/e02-021-00-00.png	Incidentally [ш=856, в=223, с=3.84]
